02455E58-3E9C-42F0-9951-266A45466AA0#appfire#02.1005.#appfire##appfire##appfire##appfire#1#appfire#0#appfire#Tools#appfire##appfire#null#appfire#1#appfire#null#appfire#null#appfire#2015-10-14 07:10:31.0#appfire#null#appfire#2015-10-14 07:10:31.0#appfire#1#appfire#1#appfire#51000
08494AC0-0807-4F76-A31B-869DBEFFD35B#appfire#02.1002.1001.#appfire##appfire##appfire##appfire#1#appfire#0#appfire#Reports#appfire##appfire#null#appfire#1#appfire#null#appfire#null#appfire#2015-10-14 07:10:31.0#appfire#null#appfire#2015-10-14 07:10:31.0#appfire#1#appfire#1#appfire#51000
13BABB74-F093-4FF3-AE0C-AB7641CAD651#appfire#02.1003.1001.#appfire##appfire#Buzzor.view.securityconfig.SecurityConfig#appfire##appfire#1#appfire#0#appfire#Security Configuration#appfire##appfire#null#appfire#1#appfire#null#appfire#null#appfire#2015-10-14 07:10:31.0#appfire#null#appfire#2015-10-14 07:10:31.0#appfire#1#appfire#1#appfire#51000
2EB318B4-0791-477A-8415-CDB398FE9B0D#appfire#02.1001.1002.#appfire##appfire#Buzzor.view.logalarm.LogAlarmMainView#appfire##appfire#1#appfire#0#appfire#Log Alarm#appfire##appfire#null#appfire#1#appfire#null#appfire#null#appfire#2015-10-14 07:10:31.0#appfire#null#appfire#2015-10-14 07:10:31.0#appfire#1#appfire#1#appfire#51000
394CD70A-BFDA-4973-8411-9633844E5E02#appfire#02.1004.#appfire##appfire##appfire##appfire#1#appfire#0#appfire#User Management#appfire##appfire#null#appfire#1#appfire#null#appfire#null#appfire#2015-10-14 07:10:31.0#appfire#null#appfire#2015-10-14 07:10:31.0#appfire#1#appfire#1#appfire#51000
3C3AC67C-7877-4A8A-930F-4171EF5B2B6F#appfire#02.1001.#appfire##appfire##appfire##appfire#1#appfire#0#appfire#Log Setup#appfire##appfire#null#appfire#1#appfire#null#appfire#null#appfire#2015-10-14 07:10:31.0#appfire#null#appfire#2015-10-14 07:10:31.0#appfire#1#appfire#1#appfire#51000
44CB396D-624C-4A57-85FB-99A7AD77AE02#appfire#02.1002.1002.#appfire##appfire#Buzzor.view.apphealth.AppHealthTabPanel#appfire##appfire#1#appfire#0#appfire#Health Configuration#appfire##appfire#null#appfire#1#appfire#null#appfire#null#appfire#2015-10-14 07:10:31.0#appfire#null#appfire#2015-10-14 07:10:31.0#appfire#1#appfire#1#appfire#51000
48382FD7-7EC9-42D9-8F1D-D045C770AA53#appfire#02.1002.#appfire##appfire##appfire##appfire#1#appfire#0#appfire#Health Setup#appfire##appfire#null#appfire#1#appfire#null#appfire#null#appfire#2015-10-14 07:10:31.0#appfire#null#appfire#2015-10-14 07:10:31.0#appfire#1#appfire#1#appfire#51000
4DC056EE-79AF-405C-BE35-423EA49033FD#appfire#02.1004.1001.#appfire##appfire#Buzzor.view.usermanagement.roles.RoleManagement#appfire##appfire#1#appfire#0#appfire#Role Feature#appfire##appfire#null#appfire#1#appfire#null#appfire#null#appfire#2015-10-14 07:10:31.0#appfire#null#appfire#2015-10-14 07:10:31.0#appfire#1#appfire#1#appfire#51000
51DE7690-EBE6-49F0-BE74-CF32FD2175D8#appfire#02.#appfire##appfire##appfire##appfire#1#appfire#1#appfire#App Setup#appfire##appfire#null#appfire#1#appfire#null#appfire#null#appfire#2015-10-14 07:10:31.0#appfire#null#appfire#2015-10-14 07:10:31.0#appfire#1#appfire#1#appfire#51000
5CBE2A5C-A208-4DAC-BE21-6A177155096B#appfire#01.1001.#appfire##appfire##appfire##appfire#1#appfire#0#appfire#Master#appfire##appfire#null#appfire#1#appfire#null#appfire#null#appfire#2015-10-14 07:10:31.0#appfire#null#appfire#2015-10-14 07:10:31.0#appfire#1#appfire#1#appfire#51000
67F8ACC2-4B50-4731-9135-0B588A5578F9#appfire#01.1001.1005.#appfire##appfire#Buzzor.singx.web.singx.view.singx.CorridorMain#appfire##appfire#1#appfire#0#appfire#Corridor#appfire##appfire#845FEABE-B5DB-4D24-BD33-842CB02EDC55#appfire#1#appfire#null#appfire#null#appfire#2015-10-14 07:10:31.0#appfire#null#appfire#2015-10-14 07:10:31.0#appfire#1#appfire#1#appfire#51000
