0136F039-A5BD-45A1-9CD6-5D00F1FA3795#appfire#01.1001.1002.#appfire##appfire#Buzzor.singx.web.singx.view.location.StateMain#appfire##appfire#1#appfire#0#appfire#State#appfire##appfire#86BF6C93-7C8F-4CDC-8E75-8F1F227CA1DC#appfire#1#appfire#null#appfire#null#appfire#2015-10-15 13:23:54.0#appfire#null#appfire#2015-10-15 13:23:54.0#appfire#1#appfire#1#appfire#51000
01FBAD1D-27DC-4704-B167-AECC36F9A9CB#appfire#01.1001.1019.#appfire##appfire#Buzzor.singx.web.singx.view.singx.CfgDocCntIndividualMain#appfire##appfire#1#appfire#0#appfire#Individual Doc Count Config#appfire##appfire#AEAD2DE2-1825-49AA-BCF4-4629A43F2734#appfire#1#appfire#null#appfire#null#appfire#2015-10-15 13:23:54.0#appfire#null#appfire#2015-10-15 13:23:54.0#appfire#1#appfire#1#appfire#51000
08E13AA9-F8CF-4916-9514-27DE5061ACD1#appfire#02.1005.#appfire##appfire##appfire##appfire#1#appfire#0#appfire#Tools#appfire##appfire#null#appfire#1#appfire#null#appfire#null#appfire#2015-10-15 13:23:54.0#appfire#null#appfire#2015-10-15 13:23:54.0#appfire#1#appfire#1#appfire#51000
091F3F8C-F8EB-4599-92B1-2D65AC08106C#appfire#02.1002.1002.#appfire##appfire#Buzzor.view.apphealth.AppHealthTabPanel#appfire##appfire#1#appfire#0#appfire#Health Configuration#appfire##appfire#null#appfire#1#appfire#null#appfire#null#appfire#2015-10-15 13:23:54.0#appfire#null#appfire#2015-10-15 13:23:54.0#appfire#1#appfire#1#appfire#51000
09959087-9825-481C-B780-4581D99B36F6#appfire#02.1005.1001.#appfire##appfire#Buzzor.view.reportbuilder.mainview.ReportMainView#appfire##appfire#1#appfire#0#appfire#Report Builder#appfire##appfire#null#appfire#1#appfire#null#appfire#null#appfire#2015-10-15 13:23:54.0#appfire#null#appfire#2015-10-15 13:23:54.0#appfire#1#appfire#1#appfire#51000
0DBFF21E-C435-4266-9D6E-ED1BA4B0CDD0#appfire#02.1002.#appfire##appfire##appfire##appfire#1#appfire#0#appfire#Health Setup#appfire##appfire#null#appfire#1#appfire#null#appfire#null#appfire#2015-10-15 13:23:54.0#appfire#null#appfire#2015-10-15 13:23:54.0#appfire#1#appfire#1#appfire#51000
17139E76-648F-4731-908A-5C845F372D5D#appfire#01.1001.1011.#appfire##appfire#Buzzor.singx.web.singx.view.singx.CompanyTypeMain#appfire##appfire#1#appfire#0#appfire#Company Type#appfire##appfire#B8CEBE91-AF18-4277-A85B-DD12036ACFEB#appfire#1#appfire#null#appfire#null#appfire#2015-10-15 13:23:54.0#appfire#null#appfire#2015-10-15 13:23:54.0#appfire#1#appfire#1#appfire#51000
1C979435-375B-4627-8F7B-FD1FA57381ED#appfire#02.1004.1001.#appfire##appfire#Buzzor.view.usermanagement.roles.RoleManagement#appfire##appfire#1#appfire#0#appfire#Role Feature#appfire##appfire#null#appfire#1#appfire#null#appfire#null#appfire#2015-10-15 13:23:54.0#appfire#null#appfire#2015-10-15 13:23:54.0#appfire#1#appfire#1#appfire#51000
1D081D88-F730-4D5B-8F87-51480F4BF269#appfire#01.1001.1017.#appfire##appfire#Buzzor.singx.web.singx.view.singx.CfgCountryAddressMain#appfire##appfire#1#appfire#0#appfire#Address#appfire##appfire#1B0F8123-C83F-4F7A-A7F0-9C43818CE3DE#appfire#1#appfire#null#appfire#null#appfire#2015-10-15 13:23:54.0#appfire#null#appfire#2015-10-15 13:23:54.0#appfire#1#appfire#1#appfire#51000
2355742E-5E61-4BAE-B09F-4A49BB8B2B3F#appfire#01.1001.1024.#appfire##appfire#Buzzor.singx.web.singx.view.singx.SingxAddressMain#appfire##appfire#1#appfire#0#appfire#Customer Address#appfire##appfire#F86D2970-998F-4F83-B6CD-57A66FEB7935#appfire#1#appfire#null#appfire#null#appfire#2015-10-15 13:23:54.0#appfire#null#appfire#2015-10-15 13:23:54.0#appfire#1#appfire#1#appfire#51000
27F6F1FA-4A16-47A3-8E5F-DA691DBC545C#appfire#01.1001.1003.#appfire##appfire#Buzzor.singx.web.singx.view.singx.SingxCityMain#appfire##appfire#1#appfire#0#appfire#City#appfire##appfire#38CA7D5C-5364-47C9-B3EE-116BF4D789C2#appfire#1#appfire#null#appfire#null#appfire#2015-10-15 13:23:54.0#appfire#null#appfire#2015-10-15 13:23:54.0#appfire#1#appfire#1#appfire#51000
3C22C059-3434-43CA-B465-0C3A0291866E#appfire#01.1001.1015.#appfire##appfire#Buzzor.singx.web.singx.view.singx.SingxPrefixMain#appfire##appfire#1#appfire#0#appfire#Name Title#appfire##appfire#E9EC424A-1D04-47F0-AC7D-00595D5011EB#appfire#1#appfire#null#appfire#null#appfire#2015-10-15 13:23:54.0#appfire#null#appfire#2015-10-15 13:23:54.0#appfire#1#appfire#1#appfire#51000
4E209288-CB00-430E-9BEC-08919D2E9D25#appfire#02.1002.1001.1003.#appfire##appfire#Buzzor.view.reportui.ReportView#appfire##appfire#1#appfire#0#appfire#App Server Memory Usage#appfire##appfire#B13DDB9C-45CD-4A6E-A708-5CB473BAF5AC#appfire#1#appfire#null#appfire#null#appfire#2015-10-15 13:23:54.0#appfire#null#appfire#2015-10-15 13:23:54.0#appfire#1#appfire#1#appfire#51000
