598296AB-2303-43F4-98B7-9BF399B2FB79#appfire#01.1001.1020.#appfire##appfire#Buzzor.singx.web.singx.view.singx.SingxAddressMain#appfire##appfire#1#appfire#0#appfire#Customer Address#appfire##appfire#F86D2970-998F-4F83-B6CD-57A66FEB7935#appfire#1#appfire#null#appfire#null#appfire#2015-10-15 09:48:00.0#appfire#null#appfire#2015-10-15 09:48:00.0#appfire#1#appfire#1#appfire#51000
61518EC5-22AA-459A-AD13-B9299A8E401B#appfire#02.1005.1001.#appfire##appfire#Buzzor.view.reportbuilder.mainview.ReportMainView#appfire##appfire#1#appfire#0#appfire#Report Builder#appfire##appfire#null#appfire#1#appfire#null#appfire#null#appfire#2015-10-15 09:48:00.0#appfire#null#appfire#2015-10-15 09:48:00.0#appfire#1#appfire#1#appfire#51000
631A1B37-7553-40F6-9ACA-4FBFE50F5E06#appfire#02.1002.1001.#appfire##appfire##appfire##appfire#1#appfire#0#appfire#Reports#appfire##appfire#null#appfire#1#appfire#null#appfire#null#appfire#2015-10-15 09:48:00.0#appfire#null#appfire#2015-10-15 09:48:00.0#appfire#1#appfire#1#appfire#51000
6B464C1A-6C20-4829-AE2F-A86BB942EA59#appfire#02.1003.1001.#appfire##appfire#Buzzor.view.securityconfig.SecurityConfig#appfire##appfire#1#appfire#0#appfire#Security Configuration#appfire##appfire#null#appfire#1#appfire#null#appfire#null#appfire#2015-10-15 09:48:00.0#appfire#null#appfire#2015-10-15 09:48:00.0#appfire#1#appfire#1#appfire#51000
793BB79D-2340-4E57-BB7A-0E206F6BD040#appfire#01.1001.1010.#appfire##appfire#Buzzor.singx.web.singx.view.singx.InputDataTypeMain#appfire##appfire#1#appfire#0#appfire#Input Datatype#appfire##appfire#D9DC8C7C-7DF9-4E03-AD4D-FF994D62C633#appfire#1#appfire#null#appfire#null#appfire#2015-10-15 09:48:00.0#appfire#null#appfire#2015-10-15 09:48:00.0#appfire#1#appfire#1#appfire#51000
797A576D-2C1C-4A4C-BC0B-88A57D9CADE4#appfire#02.1004.1004.#appfire##appfire#Buzzor.view.usermanagement.enduser.EndUserProfileMainView#appfire##appfire#1#appfire#0#appfire#User Profile#appfire##appfire#null#appfire#1#appfire#null#appfire#null#appfire#2015-10-15 09:48:00.0#appfire#null#appfire#2015-10-15 09:48:00.0#appfire#1#appfire#1#appfire#51000
7C1FBF1F-A993-4A99-8FDF-2F6EAB73EEF3#appfire#02.1002.1001.1002.#appfire##appfire#Buzzor.view.reportui.ReportView#appfire##appfire#1#appfire#0#appfire#Request Details#appfire##appfire#4CB84773-2DD6-41FA-A842-9CE88FBE0EB3#appfire#1#appfire#null#appfire#null#appfire#2015-10-15 09:48:00.0#appfire#null#appfire#2015-10-15 09:48:00.0#appfire#1#appfire#1#appfire#51000
7FCC7B5A-3AC0-4834-B508-04F69CE43C2B#appfire#01.1001.1011.#appfire##appfire#Buzzor.singx.web.singx.view.singx.SingxPrefixMain#appfire##appfire#1#appfire#0#appfire#Name Title#appfire##appfire#E9EC424A-1D04-47F0-AC7D-00595D5011EB#appfire#1#appfire#null#appfire#null#appfire#2015-10-15 09:48:00.0#appfire#null#appfire#2015-10-15 09:48:00.0#appfire#1#appfire#1#appfire#51000
818C88A2-F3DD-44D6-BF7D-01F71C28EC62#appfire#01.1001.1004.#appfire##appfire#Buzzor.singx.web.singx.view.singx.BankBranchMain#appfire##appfire#1#appfire#0#appfire#Branch#appfire##appfire#01EA1DCF-6D25-485C-B67B-962A100F7618#appfire#1#appfire#null#appfire#null#appfire#2015-10-15 09:48:00.0#appfire#null#appfire#2015-10-15 09:48:00.0#appfire#1#appfire#1#appfire#51000
868720EC-ED43-4E16-8C70-D9812CE7DA95#appfire#02.1003.#appfire##appfire##appfire##appfire#1#appfire#0#appfire#Authentication & Authorization#appfire##appfire#null#appfire#1#appfire#null#appfire#null#appfire#2015-10-15 09:48:00.0#appfire#null#appfire#2015-10-15 09:48:00.0#appfire#1#appfire#1#appfire#51000
