044EF937-7982-4998-9968-A371F838F698#appfire#01.1001.1002.1005.#appfire##appfire#Buzzor.singx.web.singx.view.contacts.TitleMain#appfire##appfire#1#appfire#0#appfire#Title#appfire##appfire#D631BA13-EFE9-4ACB-912D-9EB88E576056#appfire#1#appfire#null#appfire#null#appfire#2015-10-09 13:00:47.0#appfire#null#appfire#2015-10-09 13:00:47.0#appfire#1#appfire#1#appfire#51000
0A2F304F-BDAD-40D4-B0B4-8F353AFC65F6#appfire#01.1001.1002.1003.#appfire##appfire#Buzzor.singx.web.singx.view.contacts.CommunicationTypeMain#appfire##appfire#1#appfire#0#appfire#Communication Type#appfire##appfire#C8FCCE6D-7B42-49FA-8F20-D26A765B8627#appfire#1#appfire#null#appfire#null#appfire#2015-10-09 13:00:47.0#appfire#null#appfire#2015-10-09 13:00:47.0#appfire#1#appfire#1#appfire#51000
1209DC68-6CBC-49A2-B5AE-9BD93EF1DB1B#appfire#02.1003.1001.#appfire##appfire#Buzzor.view.securityconfig.SecurityConfig#appfire##appfire#1#appfire#0#appfire#Security Configuration#appfire##appfire#null#appfire#1#appfire#null#appfire#null#appfire#2015-10-09 13:00:47.0#appfire#null#appfire#2015-10-09 13:00:47.0#appfire#1#appfire#1#appfire#51000
126599E5-CAFA-4EAA-9F1B-A02BBF01EE10#appfire#01.1001.1002.1001.#appfire##appfire#Buzzor.singx.web.singx.view.contacts.ContactTypeMain#appfire##appfire#1#appfire#0#appfire#Contact Type#appfire##appfire#D6BE56B0-DA48-4865-A92F-B3FF1155347B#appfire#1#appfire#null#appfire#null#appfire#2015-10-09 13:00:47.0#appfire#null#appfire#2015-10-09 13:00:47.0#appfire#1#appfire#1#appfire#51000
14B64987-198C-45C1-A8D2-EDFF5104D4F7#appfire#01.1001.1003.1001.#appfire##appfire#Buzzor.singx.web.singx.view.authentication.PasswordAlgoMain#appfire##appfire#1#appfire#0#appfire#Password Algo#appfire##appfire#C6623D51-6F5A-40CD-B438-02FE58606F8F#appfire#1#appfire#null#appfire#null#appfire#2015-10-09 13:00:47.0#appfire#null#appfire#2015-10-09 13:00:47.0#appfire#1#appfire#1#appfire#51000
1833A3D6-04B0-4870-9002-E1DC4E853025#appfire#02.1002.1002.#appfire##appfire#Buzzor.view.apphealth.AppHealthTabPanel#appfire##appfire#1#appfire#0#appfire#Health Configuration#appfire##appfire#null#appfire#1#appfire#null#appfire#null#appfire#2015-10-09 13:00:47.0#appfire#null#appfire#2015-10-09 13:00:47.0#appfire#1#appfire#1#appfire#51000
1B76D353-9666-4C12-81A4-E7F8CB48F345#appfire#01.1001.1002.1006.#appfire##appfire#Buzzor.singx.web.singx.view.contacts.CoreContactsMain#appfire##appfire#1#appfire#0#appfire#Core Contacts#appfire##appfire#23A39E47-ED3D-4E8B-85C2-96D9F3B56EB5#appfire#1#appfire#null#appfire#null#appfire#2015-10-09 13:00:47.0#appfire#null#appfire#2015-10-09 13:00:47.0#appfire#1#appfire#1#appfire#51000
1B8E8414-9D02-4E02-953F-3D048601916C#appfire#01.1001.1002.#appfire##appfire##appfire##appfire#1#appfire#0#appfire#contacts#appfire##appfire#null#appfire#1#appfire#null#appfire#null#appfire#2015-10-09 13:00:47.0#appfire#null#appfire#2015-10-09 13:00:47.0#appfire#1#appfire#1#appfire#51000
1E7C24DB-2FA4-4E99-87B7-0EA6E9161FDA#appfire#02.1002.1001.1001.#appfire##appfire#Buzzor.view.reportui.ReportView#appfire##appfire#1#appfire#0#appfire#System Memory Usage#appfire##appfire#35BE388C-93DF-44B0-AFE3-8D5B32976AEA#appfire#1#appfire#null#appfire#null#appfire#2015-10-09 13:00:47.0#appfire#null#appfire#2015-10-09 13:00:47.0#appfire#1#appfire#1#appfire#51000
237A7A1A-F803-4471-B26D-47C132CEBD7D#appfire#01.1001.1001.1006.#appfire##appfire#Buzzor.singx.web.singx.view.location.RegionMain#appfire##appfire#1#appfire#0#appfire#Region#appfire##appfire#E165EA8B-362D-4505-8A86-825976983954#appfire#1#appfire#null#appfire#null#appfire#2015-10-09 13:00:47.0#appfire#null#appfire#2015-10-09 13:00:47.0#appfire#1#appfire#1#appfire#51000
28C3F0B9-528B-44B3-9258-F76E2F409F8B#appfire#01.1001.1004.1003.#appfire##appfire#Buzzor.singx.web.singx.view.customers.AppCustomerMain#appfire##appfire#1#appfire#0#appfire#AppCustomer#appfire##appfire#E57F8614-FFE1-4CC7-9650-BEEE0941E677#appfire#1#appfire#null#appfire#null#appfire#2015-10-09 13:00:47.0#appfire#null#appfire#2015-10-09 13:00:47.0#appfire#1#appfire#1#appfire#51000
292AFAFF-8A81-460F-A173-8BF5A4AD92E2#appfire#02.1002.#appfire##appfire##appfire##appfire#1#appfire#0#appfire#Health Setup#appfire##appfire#null#appfire#1#appfire#null#appfire#null#appfire#2015-10-09 13:00:47.0#appfire#null#appfire#2015-10-09 13:00:47.0#appfire#1#appfire#1#appfire#51000
2C3916A6-66A4-40F3-A5C7-6969FA0D83F4#appfire#02.1005.#appfire##appfire##appfire##appfire#1#appfire#0#appfire#Tools#appfire##appfire#null#appfire#1#appfire#null#appfire#null#appfire#2015-10-09 13:00:47.0#appfire#null#appfire#2015-10-09 13:00:47.0#appfire#1#appfire#1#appfire#51000
311E302D-8DE5-4699-A33B-8455B49DEF3E#appfire#01.1001.1001.1005.#appfire##appfire#Buzzor.singx.web.singx.view.location.StateMain#appfire##appfire#1#appfire#0#appfire#State#appfire##appfire#86BF6C93-7C8F-4CDC-8E75-8F1F227CA1DC#appfire#1#appfire#null#appfire#null#appfire#2015-10-09 13:00:47.0#appfire#null#appfire#2015-10-09 13:00:47.0#appfire#1#appfire#1#appfire#51000
333944E1-7EE5-4AC8-A5D6-F8BC823947FC#appfire#01.1001.1001.1003.#appfire##appfire#Buzzor.singx.web.singx.view.location.CountryMain#appfire##appfire#1#appfire#0#appfire#Country#appfire##appfire#44165B37-DCAF-4E12-BBCC-4D96AA354260#appfire#1#appfire#null#appfire#null#appfire#2015-10-09 13:00:47.0#appfire#null#appfire#2015-10-09 13:00:47.0#appfire#1#appfire#1#appfire#51000
45E95B0A-C54C-49EF-8AA5-6A0109F6272E#appfire#01.1001.1001.1002.#appfire##appfire#Buzzor.singx.web.singx.view.location.LanguageMain#appfire##appfire#1#appfire#0#appfire#Language#appfire##appfire#9DEDA964-283B-4EFA-B9C7-17DF33D17ADD#appfire#1#appfire#null#appfire#null#appfire#2015-10-09 13:00:47.0#appfire#null#appfire#2015-10-09 13:00:47.0#appfire#1#appfire#1#appfire#51000
4A152E26-41EB-491C-89B4-CC2F7D354A94#appfire#01.1001.1001.1004.#appfire##appfire#Buzzor.singx.web.singx.view.location.CurrencyMain#appfire##appfire#1#appfire#0#appfire#Currency#appfire##appfire#8840A07E-5A3F-4427-9178-6ABCA8F728D2#appfire#1#appfire#null#appfire#null#appfire#2015-10-09 13:00:47.0#appfire#null#appfire#2015-10-09 13:00:47.0#appfire#1#appfire#1#appfire#51000
4E2D5F94-5B6A-4858-AE58-F4124B63CC9B#appfire#02.1003.#appfire##appfire##appfire##appfire#1#appfire#0#appfire#Authentication & Authorization#appfire##appfire#null#appfire#1#appfire#null#appfire#null#appfire#2015-10-09 13:00:47.0#appfire#null#appfire#2015-10-09 13:00:47.0#appfire#1#appfire#1#appfire#51000
