01208C86-002F-4A24-BBC1-D76915F89D31#appfire#02.1004.1002.#appfire##appfire#Buzzor.view.usermanagement.users.UserRoleMainView#appfire##appfire#1#appfire#0#appfire#User Role#appfire##appfire#null#appfire#1#appfire#null#appfire#null#appfire#2015-10-14 04:57:32.0#appfire#null#appfire#2015-10-14 04:57:32.0#appfire#1#appfire#1#appfire#51000
06C78161-29B7-4853-A9DA-1104A32E195D#appfire#01.1001.1001.#appfire##appfire#Buzzor.singx.web.singx.view.singx.AgentMain#appfire##appfire#1#appfire#0#appfire#Agent#appfire##appfire#20EDA2A7-F616-48E2-AEB8-23222AED15B4#appfire#1#appfire#null#appfire#null#appfire#2015-10-14 04:57:32.0#appfire#null#appfire#2015-10-14 04:57:32.0#appfire#1#appfire#1#appfire#51000
0AA92AED-37FA-41BB-BAC6-FFB2CA9F0B20#appfire#02.1002.#appfire##appfire##appfire##appfire#1#appfire#0#appfire#Health Setup#appfire##appfire#null#appfire#1#appfire#null#appfire#null#appfire#2015-10-14 04:57:32.0#appfire#null#appfire#2015-10-14 04:57:32.0#appfire#1#appfire#1#appfire#51000
0FB39DA2-9E2D-4AEE-A1F0-4A0F921B795D#appfire#02.1004.#appfire##appfire##appfire##appfire#1#appfire#0#appfire#User Management#appfire##appfire#null#appfire#1#appfire#null#appfire#null#appfire#2015-10-14 04:57:32.0#appfire#null#appfire#2015-10-14 04:57:32.0#appfire#1#appfire#1#appfire#51000
13FE0EC5-63E2-4120-91F8-57DBE965271B#appfire#02.1002.1001.1002.#appfire##appfire#Buzzor.view.reportui.ReportView#appfire##appfire#1#appfire#0#appfire#Request Details#appfire##appfire#4CB84773-2DD6-41FA-A842-9CE88FBE0EB3#appfire#1#appfire#null#appfire#null#appfire#2015-10-14 04:57:32.0#appfire#null#appfire#2015-10-14 04:57:32.0#appfire#1#appfire#1#appfire#51000
1BCF9909-24CE-452C-87A2-3694827F8265#appfire#02.1003.1001.#appfire##appfire#Buzzor.view.securityconfig.SecurityConfig#appfire##appfire#1#appfire#0#appfire#Security Configuration#appfire##appfire#null#appfire#1#appfire#null#appfire#null#appfire#2015-10-14 04:57:32.0#appfire#null#appfire#2015-10-14 04:57:32.0#appfire#1#appfire#1#appfire#51000
2D30D88F-2057-4A62-AF8B-6AF51045AFCE#appfire#02.1005.#appfire##appfire##appfire##appfire#1#appfire#0#appfire#Tools#appfire##appfire#null#appfire#1#appfire#null#appfire#null#appfire#2015-10-14 04:57:32.0#appfire#null#appfire#2015-10-14 04:57:32.0#appfire#1#appfire#1#appfire#51000
47C7AD52-06AA-45C7-B12D-E8FAB970E865#appfire#01.1001.#appfire##appfire##appfire##appfire#1#appfire#0#appfire#Master#appfire##appfire#null#appfire#1#appfire#null#appfire#null#appfire#2015-10-14 04:57:32.0#appfire#null#appfire#2015-10-14 04:57:32.0#appfire#1#appfire#1#appfire#51000
48F55BDD-971E-4FBE-ACB4-84D81092A2F7#appfire#02.1004.1001.#appfire##appfire#Buzzor.view.usermanagement.roles.RoleManagement#appfire##appfire#1#appfire#0#appfire#Role Feature#appfire##appfire#null#appfire#1#appfire#null#appfire#null#appfire#2015-10-14 04:57:32.0#appfire#null#appfire#2015-10-14 04:57:32.0#appfire#1#appfire#1#appfire#51000
499A489C-EB45-4C84-B220-C59AEE89C286#appfire#02.1005.1001.#appfire##appfire#Buzzor.view.reportbuilder.mainview.ReportMainView#appfire##appfire#1#appfire#0#appfire#Report Builder#appfire##appfire#null#appfire#1#appfire#null#appfire#null#appfire#2015-10-14 04:57:32.0#appfire#null#appfire#2015-10-14 04:57:32.0#appfire#1#appfire#1#appfire#51000
4AE532D4-CA69-41CE-BB27-FE321368C4CC#appfire#02.1002.1001.1003.#appfire##appfire#Buzzor.view.reportui.ReportView#appfire##appfire#1#appfire#0#appfire#App Server Memory Usage#appfire##appfire#B13DDB9C-45CD-4A6E-A708-5CB473BAF5AC#appfire#1#appfire#null#appfire#null#appfire#2015-10-14 04:57:32.0#appfire#null#appfire#2015-10-14 04:57:32.0#appfire#1#appfire#1#appfire#51000
533D9537-D167-429B-BE3E-89AFFA32C9CB#appfire#01.1002.#appfire##appfire##appfire##appfire#1#appfire#0#appfire#Data Visualizer#appfire##appfire#null#appfire#1#appfire#null#appfire#null#appfire#2015-10-14 04:57:32.0#appfire#null#appfire#2015-10-14 04:57:32.0#appfire#1#appfire#1#appfire#51000
